"Organism","Limb_width","Limb_length","Observer","volume","Sp"
"species2",2.5970778360993,8.31821291336862,"Claire",44.0646013644215,"s2"
"species5",1.95655014791704,5.83790452317135,"Ryan",17.5520899838315,"s5"
"species2",2.02547126123115,14.4370952174239,"Elle",46.5180898460005,"s2"
"species3",2.97026493864764,6.48129510718551,"Elle",44.9098966074251,"s3"
"species1",2.27223529494529,10.4050283716174,"Claire",42.1929366101431,"s1"
"species1",2.52940273194076,15.6917014572058,"Ryan",78.8489446316213,"s1"
"species4",1.47110285038003,5.36258612265364,"Claire",9.11486488575739,"s4"
"species2",2.54058541564928,15.1829891512655,"Elle",76.968808644794,"s2"
"species1",1.79731394531681,10.2133903895025,"Elle",25.9124037394105,"s1"
"species4",2.53896425743402,19.349140350974,"Claire",97.9635986499919,"s4"
"species1",2.12090722150131,10.2816988480655,"Elle",36.3243709608234,"s1"
"species4",2.02991747152073,9.49870853185285,"Elle",30.7405197433057,"s4"
"species5",2.30363093943994,13.8945227417818,"Ryan",57.9107675184087,"s5"
"species2",2.45538251937507,5.11736486804673,"Ryan",24.2311811253731,"s2"
"species2",1.55207645531192,8.63934380441046,"Claire",16.3454491978818,"s2"
"species3",1.81053778709767,6.16830456730426,"Claire",15.8807451824852,"s3"
"species5",2.0028131137997,14.5076403786865,"Claire",45.7054001633676,"s5"
"species5",1.73258329398473,13.2761776160419,"Ryan",31.3004931731937,"s5"
"species3",1.87137947966663,1.33854194478087,"Ryan",3.6816762180417,"s3"
"species5",2.46683269747705,19.0019786602998,"Claire",90.8171983324337,"s5"
"species3",1.21479300043614,23.2880332700239,"Elle",26.9915146486595,"s3"
"species4",2.36040155312214,18.3971903149552,"Ryan",80.5032040739963,"s4"
"species2",1.92818801684799,9.47783481642039,"Ryan",27.6756465651468,"s2"
"species3",1.31370698938718,18.6751283649608,"Ryan",25.313400943802,"s3"
"species5",1.17313904971627,13.675694405197,"Ryan",14.7821720008922,"s5"
"species3",2.05569414859675,5.84374423152719,"Elle",19.3953705063657,"s3"
"species2",2.17180957576911,10.3963804865421,"Elle",38.5137257991376,"s2"
"species1",2.21834502737185,5.11103304988669,"Claire",19.7540777883782,"s1"
"species3",1.06940683820126,0.2,"Claire",0.179641135137614,"s3"
"species3",2.00639826506072,11.2649012312409,"Ryan",35.6165260249308,"s3"
"species1",2.2859242609626,10.406514207478,"Elle",42.708944320697,"s1"
"species1",2.5395214731288,16.264568601536,"Ryan",82.3827355500544,"s1"
"species2",1.59864263573374,15.209176746143,"Claire",30.5280012666133,"s2"
"species2",2.11729214248374,14.3383673736932,"Claire",50.483697589524,"s2"
"species2",2.00721897218944,8.26122508302262,"Claire",26.141099063459,"s2"
"species4",2.44402107628717,1.59822719759376,"Ryan",7.49787665730496,"s4"
"species5",0.807840872739583,16.8510342050404,"Elle",8.63710275871491,"s5"
"species5",1.24709959817797,4.82724041629309,"Elle",5.89645636408148,"s5"
"species2",2.054176482706,6.87538992448358,"Elle",22.7857181221424,"s2"
"species3",1.63083300387977,14.1197383479711,"Claire",29.4941248308527,"s3"
"species1",1.93372429784298,8.62358388388643,"Ryan",25.3260104770432,"s1"
"species1",2.10182874146026,7.15908921384403,"Ryan",24.8394690721329,"s1"
"species2",2.22124998988816,3.08217323837838,"Ryan",11.9437802492216,"s2"
"species2",2.44860669455491,9.57816073967389,"Claire",45.1034816537294,"s2"
"species3",0.804053526261843,0.2,"Elle",0.10155230816815,"s3"
"species2",3.24370700381009,12.1126515345642,"Claire",100.094990285933,"s2"
"species1",2.02591541701367,16.7217070637151,"Claire",53.903021652025,"s1"
"species2",1.79925664826182,6.87698788613626,"Ryan",17.4853517297147,"s2"
"species5",1.67816154758866,9.62503753327883,"Ryan",21.2892246356245,"s5"
"species1",2.89370944623341,8.01914744631637,"Elle",52.7385183204479,"s1"
"species2",1.65765700148775,9.81085857527308,"Claire",21.1731873973013,"s2"
"species4",2.14499283211101,12.5127083176801,"Claire",45.2160783547929,"s4"
"species2",2.78892245592458,14.2206614477791,"Ryan",86.8725474568329,"s2"
"species1",1.29748006392333,5.44620721344725,"Elle",7.20087761016983,"s1"
"species2",1.42101786434337,12.8608730463222,"Claire",20.3966765051466,"s2"
"species1",2.70911060475919,4.93489145782274,"Ryan",28.4459838330689,"s1"
"species4",2.43108430998071,3.85362788975979,"Elle",17.8879140169238,"s4"
"species5",2.28900156411689,0.354613940423857,"Elle",1.4592774271346,"s5"
"species1",2.91249002325518,1.95808179815479,"Claire",13.0451658362202,"s1"
"species3",1.42910513137606,13.3485445609979,"Ryan",21.4117495179149,"s3"
"species3",1.65827878018233,12.2804648293066,"Elle",26.5228246370683,"s3"
"species5",2.4999886682728,7.3881673097577,"Claire",36.2662527050687,"s5"
"species2",2.86647982433286,13.7067718983728,"Elle",88.4550934338739,"s2"
"species1",2.02084431740014,3.48405207994039,"Claire",11.1748122327124,"s1"
"species4",2.11433983263449,8.8637902024416,"Ryan",31.1213861920404,"s4"
"species2",2.66587428598721,15.6007913715853,"Claire",87.0794829624944,"s2"
"species3",2.06354085729106,13.621449758652,"Elle",45.5553469485283,"s3"
"species1",1.61415260541289,4.65710130851545,"Claire",9.53004057630334,"s1"
